               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1449,            0.025426,            0.030001,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.068512,            0.001088,            0.001088
                   1,              0.1357,            0.016684,            0.025166,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.036168,           0.0020768,           0.0020768
                   2,             0.13124,            0.015222,            0.020323,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0036972,           0.0029396,           0.0029396
                   3,             0.12419,            0.016152,            0.017165,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027731,           0.0027731,           0.0027731
                   4,             0.11135,            0.017922,            0.015218,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027731,           0.0027731,           0.0027731
                   5,             0.10187,            0.021784,             0.01612,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025841,           0.0025841,           0.0025841
                   6,            0.093563,            0.021258,             0.01623,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023952,           0.0023952,           0.0023952
                   7,            0.088793,            0.020992,            0.014518,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022062,           0.0022062,           0.0022062
                   8,            0.087453,            0.022549,            0.016046,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020172,           0.0020172,           0.0020172
                   9,            0.084804,            0.022019,            0.015241,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018283,           0.0018283,           0.0018283
                  10,            0.083079,            0.021895,            0.015638,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016393,           0.0016393,           0.0016393
                  11,            0.079834,            0.021975,             0.01473,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014503,           0.0014503,           0.0014503
                  12,            0.078988,            0.022103,             0.01507,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012614,           0.0012614,           0.0012614
                  13,            0.077901,            0.022445,            0.013453,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010724,           0.0010724,           0.0010724
                  14,            0.074869,              0.0219,            0.012431,             0.78749,               0.125,             0.31188,             0.12396,            0.059768,            0.016308,            0.012097,          0.00088344,          0.00088344,          0.00088344
                   0,             0.14356,            0.022501,            0.028188,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070682,           0.0032576,           0.0032576
                   1,             0.13047,            0.013789,            0.021606,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.040286,           0.0061955,           0.0061955
                   2,             0.11077,            0.017142,            0.016783,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0094909,           0.0087333,           0.0087333
                   3,            0.097266,             0.01899,            0.018129,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0082,              0.0082,              0.0082
                   4,            0.090289,            0.020015,            0.016059,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0082,              0.0082,              0.0082
